Date,Sales
Jan-24,850
Feb-24,1550
Mar-24,3990
Apr-24,800
May-24,1200
Jun-24,3700
Jul-24,1954
Aug-24,2852
Sep-24,4350
Oct-24,925
Nov-24,1400
Dec-24,5850
Jan-24,900
Feb-24,1750
Mar-24,3450
Apr-24,1125
May-24,1620
Jun-24,2350
Jul-24,1425
Aug-24,2150
Sep-24,4860
Oct-24,1120
Nov-24,1335
Dec-24,4975
Jan-24,800
Feb-24,1125
Mar-24,3375
Apr-24,1250
May-24,1520
Jun-24,2750
Jul-24,1200
Aug-24,2625
Sep-24,3750
Oct-24,1350
Nov-24,2750
Dec-24,3250
Jan-24,725
Feb-24,625
Mar-24,2275
Apr-24,825
May-24,1025
Jun-24,1750
Jul-24,975
Aug-24,1050
Sep-24,1100
Oct-24,700
Nov-24,900
Dec-24,2150
