Date,Sales
Jan-24,270
Feb-24,270
Mar-24,1860
Apr-24,795
May-24,1600
Jun-24,2145
Jul-24,750
Aug-24,1833
Sep-24,3200
Oct-24,725
Nov-24,900
Dec-24,3875
Jan-24,750
Feb-24,800
Mar-24,2750
Apr-24,715
May-24,1730
Jun-24,2200
Jul-24,1650
Aug-24,1575
Sep-24,3120
Oct-24,850
Nov-24,1875
Dec-24,3300
Jan-24,700
Feb-24,975
Mar-24,2825
Apr-24,1025
May-24,1450
Jun-24,2550
Jul-24,1325
Aug-24,2750
Sep-24,3975
Oct-24,1225
Nov-24,3200
Dec-24,4100
Jan-24,775
Feb-24,900
Mar-24,2175
Apr-24,1050
May-24,1375
Jun-24,2725
Jul-24,1225
Aug-24,1825
Sep-24,1675
Oct-24,1100
Nov-24,1300
Dec-24,3100
